id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1243,2023-01-09 05:54:02.223885,4.4,2.9,1.4,0.2,0
1242,2023-01-09 05:54:01.209811,4.9,3.1,1.5,0.1,0
1241,2023-01-09 05:54:00.192288,6.5,3.0,5.2,2.0,2
1240,2023-01-09 05:53:59.177265,6.4,2.8,5.6,2.2,2
1239,2023-01-09 05:53:58.160268,6.4,3.2,5.3,2.3,2
1238,2023-01-09 05:53:57.141127,4.6,3.2,1.4,0.2,0
1237,2023-01-09 05:53:56.118189,6.0,2.7,5.1,1.6,1
1236,2023-01-09 05:53:55.096259,4.6,3.4,1.4,0.3,0
1235,2023-01-09 05:53:54.071866,5.7,2.9,4.2,1.3,1
1234,2023-01-09 05:53:53.047772,6.8,3.2,5.9,2.3,2
1233,2023-01-09 05:53:52.026757,6.5,3.2,5.1,2.0,2
1232,2023-01-09 05:53:51.006246,5.1,3.7,1.5,0.4,0
1231,2023-01-09 05:53:49.981463,4.6,3.1,1.5,0.2,0
1230,2023-01-09 05:53:48.948285,6.4,2.9,4.3,1.3,1
1229,2023-01-09 05:53:47.920959,5.1,3.8,1.9,0.4,0
1228,2023-01-09 05:53:46.893904,5.1,3.8,1.5,0.3,0
1227,2023-01-09 05:53:45.866032,6.9,3.2,5.7,2.3,2
1226,2023-01-09 05:53:44.843973,5.6,3.0,4.1,1.3,1
1225,2023-01-09 05:53:43.819741,6.5,2.8,4.6,1.5,1
1224,2023-01-09 05:53:42.792032,6.8,3.2,5.9,2.3,2
1223,2023-01-09 05:53:41.770270,4.8,3.4,1.6,0.2,0
1222,2023-01-09 05:53:40.752052,4.9,2.4,3.3,1.0,1
1221,2023-01-09 05:53:39.730445,6.9,3.1,5.1,2.3,2
1220,2023-01-09 05:53:38.705764,4.6,3.6,1.0,0.2,0
1219,2023-01-09 05:53:37.679643,5.1,3.4,1.5,0.2,0
1218,2023-01-09 05:53:36.652373,6.8,3.0,5.5,2.1,2
1217,2023-01-09 05:53:35.630893,6.5,2.8,4.6,1.5,1
1216,2023-01-09 05:53:34.611865,5.7,3.8,1.7,0.3,0
1215,2023-01-09 05:53:33.592428,5.5,2.4,3.7,1.0,1
1214,2023-01-09 05:53:32.573459,5.6,2.5,3.9,1.1,1
1213,2023-01-09 05:53:31.552552,5.0,3.5,1.6,0.6,0
1212,2023-01-09 05:53:30.533737,6.3,2.3,4.4,1.3,1
1211,2023-01-09 05:53:29.506569,7.7,3.8,6.7,2.2,2
1210,2023-01-09 05:53:28.480594,4.6,3.4,1.4,0.3,0
1209,2023-01-09 05:53:27.462765,5.0,3.6,1.4,0.2,0
1208,2023-01-09 05:53:26.446087,5.7,2.9,4.2,1.3,1
1207,2023-01-09 05:53:25.423493,5.4,3.9,1.3,0.4,0
1206,2023-01-09 05:53:24.404777,5.5,2.3,4.0,1.3,1
1205,2023-01-09 05:53:23.386206,4.8,3.0,1.4,0.3,0
1204,2023-01-09 05:53:22.368742,6.5,2.8,4.6,1.5,1
1203,2023-01-09 05:53:21.345794,6.0,2.2,4.0,1.0,1
1202,2023-01-09 05:53:20.324447,6.4,3.2,4.5,1.5,1
1201,2023-01-09 05:53:19.299563,5.9,3.0,4.2,1.5,1
1200,2023-01-09 05:53:18.273865,4.9,3.0,1.4,0.2,0
